adresseliste		sb.	40000073
adresseløs		adj.	11000225
adressere		vb.	11000226
adressering		sb.	40000069
adresseændring		sb.	40000074
adræt		adj.	11000227
adræthed		sb.	40000075
adskille		vb.	11000228
adskillelig		adj.	40000076
adskillelse		sb.	11000229
adskillig		adj.	11000230
adskilthed		sb.	46001297
adsorbere		vb.	11000231
adsorption		sb.	40000077
adsplitte		vb.	11000232
adsplittelse		sb.	48005581
adsprede		vb.	11000233
adspredelse		sb.	11000234
adspredt		adj.	11000235
adspredthed		sb.	48006309
adspørge		vb.	11000236
adstadig		adj.	11000237
adstadighed		sb.	40000078
adstringerende		adj.	11002707
A-dur		sb.	11000239
adv.		fork.	11000240
advare		vb.	11000241
advarsel		sb.	11000242
advarselsblink		sb.	40000079
advarselsflag		sb.	41000881
advarselslampe		sb.	11000243
advarselsråb		sb.	40000080
advarselssignal		sb.	11000244
advarselsskilt		sb.	11000245
advarselsskud		sb.	49001498
advarselstavle		sb.	11000246
advarselstrekant		sb.	11000247
advektion		sb.	41001360
advektionståge		sb.	41001361
advent		sb.	11000248
adventist		sb.	11000249
adventsgave		sb.	48007329
adventskalender		sb.	41002942
adventskrans		sb.	11000250
adventssøndag		sb.	11000251
adventstid		sb.	40000081
adventurespil		sb.	11000252
adverbial		sb.	11000253
adverbialled		sb.	46000909
adverbiel		adj.	40000082
adverbium		sb.	11000254
advis		sb.	11000255
advisere		vb.	11000256
advisering		sb.	40000083
advokat		sb.	11000257
advokatbeskikkelse		sb.	30000605
advokatbestalling		sb.	40000085
advokatbistand		sb.	40000086
advokatfirma		sb.	11000258
advokatforretning		sb.	40000087
advokatfuldmægtig		sb.	11000259
advokatkontor		sb.	11000260
advokatorisk		adj.	11000261
advokatpraksis		sb.	50000044
advokatsalær		sb.	11000262
advokatsekretær		sb.	11000263
advokatundersøgelse		sb.	30000000
advokatur		sb.	53500005
advokatvagt		sb.	11000264
advokatvirksomhed		sb.	11000265
advokere		vb.	11000266
adware		sb.	30000261
adækvat		adj.	11000267
ae		vb.	11000268
aero-		præfiks	11000269
aerob		adj.	11000270
aerobic		sb.	11000271
aerobiccenter		sb.	40000088
aerobicinstruktør		sb.	40000089
aerobisk		adj.	41001362
aerodrom		sb.	11000272
aerodynamik		sb.	11000273
aerodynamisk		adj.	11000274
aerofobi		sb.	53500006
aerogram		sb.	11000275
aerologi		sb.	11000276
aerologisk		adj.	40000090
aeronaut		sb.	11000277
aeronautik		sb.	41001366
aeronautisk		adj.	11000278
aeroplan		sb.	11000279
aerosol		sb.	11000280
aerosoldåse		sb.	11000281
af	1	adv.	11000282
af	2	præp.	11000283
afart		sb.	11000284
afasi		sb.	11000285
afasiramt		adj.	53201250
afatiker		sb.	11000286
afatisk		adj.	11000287
afbage		vb.	11000288
afbagning		sb.	40000091
afbalancere		vb.	11000289
afbalancering		sb.	40000092
afbanke		vb.	11000290
afbankning		sb.	40000093
afbarke		vb.	11000291
afbarkning		sb.	40000094
afbedrag		sb.	11000292
afbenytte		vb.	11000293
afbenyttelse		sb.	11000294
afbestille		vb.	11000295
afbestilling		sb.	40000095
afbestillingsforsikring		sb.	11000296
afbetale		vb.	11000297
afbetaling		sb.	11000298
afbetalingskontrakt		sb.	53005660
afbetalingskøb		sb.	50000046
afbetalingsordning		sb.	53005661
afbide		vb.	11000299
afbigt		sb.	11000300
afbilde		vb.	11000301
afbildning		sb.	11000302
afbinde		vb.	11000304
afbinding		sb.	40000096
afblege		vb.	11000305
afblegning		sb.	40000097
afblomstre		vb.	11000306
afblomstring		sb.	40000098
afblæse		vb.	11000307
afblæsning		sb.	40000099
afbryde		vb.	11000308
afbrydelse		sb.	11000309
afbryder		sb.	11000310
afbryderknap		sb.	40000100
afbræk		sb.	11000311
afbrække		vb.	11000312
afbrækning		sb.	40000101
afbrænde		vb.	11000313
afbrænder		sb.	11000314
afbrænding		sb.	40000102
afbud		sb.	11000315
afbudsramt		adj.	40000103
afbudsrejse		sb.	11000316
afbureaukratisere		vb.	11000317
afbureaukratisering		sb.	40000104
afbøde		vb.	11000318
afbødning		sb.	40000105
afbøje		vb.	11000319
afbøjning		sb.	40000106
afbøjningsspole		sb.	11000320
afd.		fork.	11000321
afdampning		sb.	11000322
afdanket		adj.	11000323
afdansningsbal		sb.	11000324
afdeling		sb.	11000325
afdelingsbestyrelse		sb.	40000107
afdelingschef		sb.	11000326
